City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
167,Monticello,US,2021-06-25 15:23:58,45.3055,-93.7941,Clear,clear sky,80.64,53,1,3.44,0,0
168,Huainan,CN,2021-06-25 15:23:58,32.6264,116.9969,Rain,light rain,75.54,76,100,8.95,0,0
169,Olinda,BR,2021-06-25 15:23:59,-8.0089,-34.8553,Clouds,scattered clouds,80.33,65,40,17.27,0,0
170,Taoudenni,ML,2021-06-25 15:21:09,22.6783,-3.9836,Clear,clear sky,115.39,6,3,6.69,0,0
171,Cabo San Lucas,MX,2021-06-25 15:20:40,22.8909,-109.9124,Clear,clear sky,86.81,61,1,0.0,0,0
172,Isangel,VU,2021-06-25 15:23:59,-19.55,169.2667,Clouds,scattered clouds,72.72,79,44,14.92,0,0
173,Oistins,BB,2021-06-25 15:24:00,13.0667,-59.5333,Clouds,scattered clouds,86.09,62,40,18.41,0,0
174,Guangyuan,CN,2021-06-25 15:24:00,32.442,105.823,Clouds,overcast clouds,71.31,90,100,0.74,0,0
175,Banda Aceh,ID,2021-06-25 15:14:28,5.5577,95.3222,Clouds,overcast clouds,80.73,79,97,12.03,0,0
176,Parksville,CA,2021-06-25 15:24:00,49.3163,-124.3195,Clouds,broken clouds,75.96,68,55,24.16,0,0
177,Athabasca,CA,2021-06-25 15:24:01,54.7169,-113.2854,Clouds,overcast clouds,70.21,70,95,9.62,0,0
178,Calbuco,CL,2021-06-25 15:24:01,-41.768,-73.1273,Rain,light rain,46.47,67,52,7.45,0,0
179,Lata,PT,2021-06-25 15:24:01,40.1629,-8.3327,Clouds,overcast clouds,91.35,44,93,10.27,0,0
180,Halmaj,HU,2021-06-25 15:24:02,48.25,21.0,Clear,clear sky,90.45,37,7,13.13,0,0
181,Bensonville,LR,2021-06-25 15:24:02,6.4461,-10.6125,Rain,moderate rain,81.95,77,96,5.32,0,0
182,Parry Sound,CA,2021-06-25 15:24:03,45.3501,-80.033,Clouds,overcast clouds,70.21,88,100,8.86,0,0
183,Rocha,UY,2021-06-25 15:24:03,-34.4833,-54.3333,Clouds,scattered clouds,58.59,59,40,11.16,0,0
